task,layers,heads,terms,attention_ops,train_seconds,train_accuracy,test_accuracy,empty,verdict,verify_seconds
a_before_b,2,1,2,2,83.0,1.0,1.0,false,non-empty,1.84
a_star_b_star,2,1,1,2,38.0,1.0,1.0,false,non-empty,1.02
c_after_ab,3,2,2,6,100.1,1.0,1.0,false,non-empty,1.34
contains_ab,2,1,2,2,100.0,1.0,1.0,false,non-empty,0.99
contains_aba,3,1,2,3,126.3,1.0,1.0,false,non-empty,0.99
dot_depth__k-1__sigma-2,1,1,1,1,29.4,1.0,1.0,false,non-empty,0.94
dot_depth__k-1__sigma-4,1,1,1,1,30.2,1.0,1.0,false,non-empty,0.94
dot_depth__k-2__sigma-2,2,2,1,4,165.9,1.0,1.0,false,non-empty,1.06
dot_depth__k-3__sigma-2,3,1,2,3,174.4,1.0,1.0,false,non-empty,1.01
dot_depth__k-4__sigma-2,3,3,2,8,293.8,1.0,1.0,false,non-empty,1.28
dot_depth__k-5__sigma-2,5,1,2,5,741.6,1.0,1.0,false,non-empty,1.01
dot_depth__k-6__sigma-2,6,2,2,9,252.9,1.0,1.0,false,non-empty,1.18
dot_depth__k-7__sigma-2,8,1,2,8,368.3,1.0,1.0,false,non-empty,1.04
ends_ab,1,1,1,1,51.8,1.0,1.0,false,non-empty,0.99
first_a,2,1,2,2,47.5,1.0,1.0,false,non-empty,1.01
first_a_before_first_b,2,1,2,2,48.8,1.0,1.0,false,non-empty,1.43
first_equals_last,2,1,2,2,48.4,1.0,1.0,false,non-empty,1.11
gastin_oddoux_depth__k-1,2,1,2,2,49.5,1.0,1.0,false,non-empty,1.25
last_a,1,1,1,0,28.1,1.0,1.0,false,non-empty,1.4
markey_agreement__n-1,1,2,2,2,66.5,1.0,1.0,false,non-empty,1.15
no_c_before_first_b,2,1,2,2,51.0,1.0,1.0,false,non-empty,0.94
starts_ab,3,1,2,3,366.6,1.0,1.0,false,non-empty,0.91
tomita_1,1,1,1,1,27.1,1.0,1.0,false,non-empty,0.88
tomita_2,2,1,2,2,109.6,1.0,1.0,false,non-empty,1.05
tomita_4,3,1,1,3,149.9,1.0,1.0,false,non-empty,1.18
tomita_7,3,1,2,3,141.8,1.0,1.0,false,non-empty,1.09
two_var__monotone_past__sigma-2,1,1,1,1,28.8,1.0,1.0,true,empty,1.07
two_var__monotone_past__sigma-4,1,1,1,1,29.1,1.0,1.0,true,empty,1.27
two_var__prev_repeats__sigma-2,1,2,2,2,81.0,1.0,1.0,false,non-empty,1.16
two_var__same_letter_before__sigma-2,1,1,2,1,31.7,1.0,1.0,false,non-empty,1.09
two_var__same_letter_before__sigma-4,1,2,2,2,133.9,1.0,1.0,false,non-empty,1.45
two_var__since_same_letter__sigma-2,1,1,2,1,32.2,1.0,1.0,false,non-empty,1.22
y_depth__k-1,1,1,1,1,28.1,1.0,1.0,false,non-empty,1.06
y_depth__no_two_a__k-1,2,1,1,2,41.8,1.0,1.0,false,non-empty,1.04
